function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
2592;libmpi.so.12.1.10;MPIDI_CH3I_Progress;;40.39;52.62;;;;;;
2589;libmpi.so.12.1.10;MPIDI_CH3I_Shm_send_progress;;23.52;30.64;;;;;;
2712;libmpi.so.12.1.10;MPID_nem_tcp_connpoll;;16.55;21.56;;;;;;
2196;libmpi.so.12.1.10;MPIR_Progress_hook_exec_all;;10.72;13.96;;;;;;
2623;libmpi.so.12.1.10;MPID_nem_network_poll;;1.58;2.06;;;;;;
1819;libmpi.so.12.1.10;MPIR_Coll_safe_to_block;;1.24;1.62;;;;;;
1840;libmpi.so.12.1.10;MPII_Gentran_scheds_are_pending;;0.93;1.21;;;;;;
2725;libmpi.so.12.1.10;MPIDU_Sched_are_pending;;0.89;1.16;;;;;;
2582;libmpi.so.12.1.10;MPIDI_CH3_iStartMsg;;0.68;0.89;;;;;;
584;libc-2.31.so;pthread_attr_setschedparam;;0.6;0.78;;;;;;
67;miniXyce.x;mX_matrix_utils::sparse_matrix_vector_product(mX_matrix_utils::distributed_sparse_matrix*, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&);;0.5;0.65;;;;;;
2315;libmpi.so.12.1.10;MPID_Request_free_hook;;0.45;0.58;;;;;;
68;miniXyce.x;mX_matrix_utils::gmres(mX_matrix_utils::distributed_sparse_matrix*, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double&, double&, int, std::vector<double, std::allocator<double> >&, int&, int&);;0.21;0.28;;;;;;
1303;libmpi.so.12.1.10;MPI_Send;;0.15;0.2;;;;;;
1482;libstdc++.so.6.0.28;std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&);;0.13;0.18;;;;;;
2303;libmpi.so.12.1.10;MPIDI_CH3U_Recvq_FDU_or_AEP;;0.12;0.16;;;;;;
2305;libmpi.so.12.1.10;MPIDI_CH3U_Recvq_FDP_or_AEU;;0.11;0.15;;;;;;
2487;libmpi.so.12.1.10;MPID_Recv;;0.1;0.14;;;;;;
586;libc-2.31.so;__libc_free;;0.1;0.14;;;;;;
2420;libmpi.so.12.1.10;MPIDI_CH3_PktHandler_EagerShortSend;;0.09;0.11;;;;;;
1299;libmpi.so.12.1.10;MPI_Recv;;0.08;0.11;;;;;;
1060;libc-2.31.so;__poll;;0.08;0.11;;;;;;
2419;libmpi.so.12.1.10;MPIDI_CH3_EagerContigShortSend;;0.08;0.1;;;;;;
2491;libmpi.so.12.1.10;MPID_Send;;0.07;0.09;;;;;;
585;libc-2.31.so;__libc_malloc;;0.07;0.08;;;;;;
2317;libmpi.so.12.1.10;MPID_Request_complete;;0.06;0.07;;;;;;
2310;libmpi.so.12.1.10;MPID_Request_create_hook;;0.05;0.07;;;;;;
72;miniXyce.x;void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&);;0.04;0.05;;;;;;
-1;kernel;unknown_kernel_region;;0.03;0.04;;;;;;
2591;libmpi.so.12.1.10;MPID_nem_handle_pkt;;0.03;0.04;;;;;;
1342;libmpi.so.12.1.10;MPIR_Wait_state;;0.03;0.04;;;;;;
71;miniXyce.x;std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, double> >*);;0.03;0.04;;;;;;
48;miniXyce.x;void std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&);;0.03;0.04;;;;;;
2226;libmpi.so.12.1.10;MPIDI_CH3I_Comm_find;;0.03;0.04;;;;;;
320;libmpi.so.12.1.10;.plt.sec@start;;0.03;0.04;;;;;;
2316;libmpi.so.12.1.10;MPID_Request_destroy_hook;;0.02;0.03;;;;;;
1902;libc-2.31.so;__nss_database_lookup;;0.02;0.02;;;;;;
1215;libstdc++.so.6.0.28;operator new(unsigned long);;0.02;0.02;;;;;;
2588;libmpi.so.12.1.10;check_terminating_vcs;;0.02;0.02;;;;;;
2314;libmpi.so.12.1.10;MPIDI_CH3U_Request_unpack_uebuf;;0.02;0.02;;;;;;
1026;libstdc++.so.6.0.28;.plt.sec@start;;0.01;0.01;;;;;;
75;miniXyce.x;std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<int const, double> >, int const&);;0.01;0.01;;;;;;
1343;libmpi.so.12.1.10;MPIR_Wait_impl;;0.01;0.01;;;;;;
102;miniXyce.x;.plt.sec@start;;0.01;0.01;;;;;;
49;miniXyce.x;mX_linear_DAE_utils::evaluate_b(double, mX_linear_DAE_utils::mX_linear_DAE*);;0.01;0.01;;;;;;
11;ld-2.31.so;_dl_rtld_di_serinfo;;0.01;0.01;;;;;;
2599;libmpi.so.12.1.10;MPIDI_CH3I_Posted_recv_dequeued;;0;0;;;;;;
2598;libmpi.so.12.1.10;MPIDI_CH3I_Posted_recv_enqueued;;0;0;;;;;;
2580;libmpi.so.12.1.10;MPIDI_CH3_iSendv;;0;0;;;;;;
2527;libmpi.so.12.1.10;MPIDI_RMA_init;;0;0;;;;;;
2473;libmpi.so.12.1.10;MPID_Isend;;0;0;;;;;;
2189;libstdc++.so.6.0.28;std::string::_Rep::_S_create(unsigned long, unsigned long, std::allocator<char> const&);;0;0;;;;;;
1904;libmpi.so.12.1.10;MPIC_Recv;;0;0;;;;;;
1834;libmpi.so.12.1.10;MPIR_Csel_search;;0;0;;;;;;
73;miniXyce.x;void std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_M_realloc_insert<std::vector<double, std::allocator<double> > const&>(__gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >, std::vector<double, std::allocator<double> > const&);;0;0;;;;;;
