function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
2303;libmpi.so.12.1.10;MPIDI_CH3U_Recvq_FDU_or_AEP;;88.36;120.38;;;;;;
2592;libmpi.so.12.1.10;MPIDI_CH3I_Progress;;2.04;2.79;;;;;;
584;libc-2.31.so;pthread_attr_setschedparam;;1.4;1.91;;;;;;
67;miniXyce.x;mX_matrix_utils::sparse_matrix_vector_product(mX_matrix_utils::distributed_sparse_matrix*, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&);;1.31;1.79;;;;;;
2315;libmpi.so.12.1.10;MPID_Request_free_hook;;1.03;1.41;;;;;;
2582;libmpi.so.12.1.10;MPIDI_CH3_iStartMsg;;1.01;1.38;;;;;;
2589;libmpi.so.12.1.10;MPIDI_CH3I_Shm_send_progress;;0.58;0.79;;;;;;
1482;libstdc++.so.6.0.28;std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&);;0.44;0.6;;;;;;
2305;libmpi.so.12.1.10;MPIDI_CH3U_Recvq_FDP_or_AEU;;0.35;0.48;;;;;;
2487;libmpi.so.12.1.10;MPID_Recv;;0.34;0.46;;;;;;
585;libc-2.31.so;__libc_malloc;;0.31;0.42;;;;;;
1299;libmpi.so.12.1.10;MPI_Recv;;0.23;0.32;;;;;;
2420;libmpi.so.12.1.10;MPIDI_CH3_PktHandler_EagerShortSend;;0.23;0.31;;;;;;
68;miniXyce.x;mX_matrix_utils::gmres(mX_matrix_utils::distributed_sparse_matrix*, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double&, double&, int, std::vector<double, std::allocator<double> >&, int&, int&);;0.22;0.29;;;;;;
2712;libmpi.so.12.1.10;MPID_nem_tcp_connpoll;;0.19;0.27;;;;;;
2591;libmpi.so.12.1.10;MPID_nem_handle_pkt;;0.18;0.24;;;;;;
2598;libmpi.so.12.1.10;MPIDI_CH3I_Posted_recv_enqueued;;0.15;0.2;;;;;;
2196;libmpi.so.12.1.10;MPIR_Progress_hook_exec_all;;0.14;0.19;;;;;;
2226;libmpi.so.12.1.10;MPIDI_CH3I_Comm_find;;0.12;0.16;;;;;;
2725;libmpi.so.12.1.10;MPIDU_Sched_are_pending;;0.11;0.16;;;;;;
2419;libmpi.so.12.1.10;MPIDI_CH3_EagerContigShortSend;;0.11;0.16;;;;;;
2599;libmpi.so.12.1.10;MPIDI_CH3I_Posted_recv_dequeued;;0.11;0.15;;;;;;
586;libc-2.31.so;__libc_free;;0.1;0.14;;;;;;
1303;libmpi.so.12.1.10;MPI_Send;;0.1;0.13;;;;;;
1343;libmpi.so.12.1.10;MPIR_Wait_impl;;0.1;0.13;;;;;;
2317;libmpi.so.12.1.10;MPID_Request_complete;;0.09;0.12;;;;;;
1902;libc-2.31.so;__nss_database_lookup;;0.07;0.1;;;;;;
2310;libmpi.so.12.1.10;MPID_Request_create_hook;;0.06;0.09;;;;;;
