function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
2592;libmpi.so.12.1.10;MPIDI_CH3I_Progress;;35.24;45.95;;;;;;
2589;libmpi.so.12.1.10;MPIDI_CH3I_Shm_send_progress;;28.05;36.57;;;;;;
2712;libmpi.so.12.1.10;MPID_nem_tcp_connpoll;;16.64;21.7;;;;;;
2196;libmpi.so.12.1.10;MPIR_Progress_hook_exec_all;;11.94;15.57;;;;;;
2623;libmpi.so.12.1.10;MPID_nem_network_poll;;1.4;1.83;;;;;;
1819;libmpi.so.12.1.10;MPIR_Coll_safe_to_block;;1.07;1.4;;;;;;
584;libc-2.31.so;pthread_attr_setschedparam;;0.63;0.82;;;;;;
1840;libmpi.so.12.1.10;MPII_Gentran_scheds_are_pending;;0.57;0.74;;;;;;
2315;libmpi.so.12.1.10;MPID_Request_free_hook;;0.54;0.7;;;;;;
67;miniXyce.x;mX_matrix_utils::sparse_matrix_vector_product(mX_matrix_utils::distributed_sparse_matrix*, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&);;0.53;0.7;;;;;;
2725;libmpi.so.12.1.10;MPIDU_Sched_are_pending;;0.39;0.51;;;;;;
68;miniXyce.x;mX_matrix_utils::gmres(mX_matrix_utils::distributed_sparse_matrix*, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double&, double&, int, std::vector<double, std::allocator<double> >&, int&, int&);;0.35;0.45;;;;;;
2582;libmpi.so.12.1.10;MPIDI_CH3_iStartMsg;;0.32;0.41;;;;;;
305;libc-2.31.so;vprintf;;0.23;0.3;;;;;;
1303;libmpi.so.12.1.10;MPI_Send;;0.17;0.23;;;;;;
2303;libmpi.so.12.1.10;MPIDI_CH3U_Recvq_FDU_or_AEP;;0.13;0.17;;;;;;
2419;libmpi.so.12.1.10;MPIDI_CH3_EagerContigShortSend;;0.13;0.17;;;;;;
2305;libmpi.so.12.1.10;MPIDI_CH3U_Recvq_FDP_or_AEU;;0.13;0.17;;;;;;
296;libc-2.31.so;swapcontext;;0.1;0.12;;;;;;
2226;libmpi.so.12.1.10;MPIDI_CH3I_Comm_find;;0.09;0.12;;;;;;
1482;libstdc++.so.6.0.28;std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&);;0.09;0.11;;;;;;
2491;libmpi.so.12.1.10;MPID_Send;;0.08;0.11;;;;;;
1902;libc-2.31.so;__nss_database_lookup;;0.08;0.1;;;;;;
585;libc-2.31.so;__libc_malloc;;0.07;0.09;;;;;;
2420;libmpi.so.12.1.10;MPIDI_CH3_PktHandler_EagerShortSend;;0.07;0.08;;;;;;
2487;libmpi.so.12.1.10;MPID_Recv;;0.07;0.08;;;;;;
2310;libmpi.so.12.1.10;MPID_Request_create_hook;;0.06;0.08;;;;;;
-1;kernel;unknown_kernel_region;;0.06;0.08;;;;;;
1060;libc-2.31.so;__poll;;0.06;0.07;;;;;;
586;libc-2.31.so;__libc_free;;0.05;0.07;;;;;;
48;miniXyce.x;void std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&);;0.05;0.06;;;;;;
348;libc-2.31.so;psiginfo;;0.05;0.06;;;;;;
1342;libmpi.so.12.1.10;MPIR_Wait_state;;0.04;0.05;;;;;;
1299;libmpi.so.12.1.10;MPI_Recv;;0.04;0.05;;;;;;
2317;libmpi.so.12.1.10;MPID_Request_complete;;0.03;0.05;;;;;;
320;libmpi.so.12.1.10;.plt.sec@start;;0.03;0.05;;;;;;
2591;libmpi.so.12.1.10;MPID_nem_handle_pkt;;0.03;0.04;;;;;;
1343;libmpi.so.12.1.10;MPIR_Wait_impl;;0.03;0.04;;;;;;
72;miniXyce.x;void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&);;0.03;0.04;;;;;;
1265;libstdc++.so.6.0.28;__cxxabiv1::__vmi_class_type_info::__do_dyncast(long, __cxxabiv1::__class_type_info::__sub_kind, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info::__dyncast_result&) const;;0.03;0.04;;;;;;
