function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
2303;libmpi.so.12.1.10;MPIDI_CH3U_Recvq_FDU_or_AEP;;53.57;53.85;;;;;;
2592;libmpi.so.12.1.10;MPIDI_CH3I_Progress;;21.93;22.05;;;;;;
2712;libmpi.so.12.1.10;MPID_nem_tcp_connpoll;;7.97;8.01;;;;;;
584;libc-2.31.so;pthread_attr_setschedparam;;1.98;1.99;;;;;;
1819;libmpi.so.12.1.10;MPIR_Coll_safe_to_block;;1.59;1.6;;;;;;
67;miniXyce.x;mX_matrix_utils::sparse_matrix_vector_product(mX_matrix_utils::distributed_sparse_matrix*, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&);;1.51;1.52;;;;;;
1840;libmpi.so.12.1.10;MPII_Gentran_scheds_are_pending;;1.42;1.43;;;;;;
2725;libmpi.so.12.1.10;MPIDU_Sched_are_pending;;1.39;1.39;;;;;;
2582;libmpi.so.12.1.10;MPIDI_CH3_iStartMsg;;1.29;1.3;;;;;;
2589;libmpi.so.12.1.10;MPIDI_CH3I_Shm_send_progress;;0.88;0.88;;;;;;
2315;libmpi.so.12.1.10;MPID_Request_free_hook;;0.79;0.79;;;;;;
2623;libmpi.so.12.1.10;MPID_nem_network_poll;;0.76;0.77;;;;;;
2305;libmpi.so.12.1.10;MPIDI_CH3U_Recvq_FDP_or_AEU;;0.68;0.68;;;;;;
1482;libstdc++.so.6.0.28;std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&);;0.53;0.54;;;;;;
2487;libmpi.so.12.1.10;MPID_Recv;;0.43;0.43;;;;;;
585;libc-2.31.so;__libc_malloc;;0.33;0.33;;;;;;
68;miniXyce.x;mX_matrix_utils::gmres(mX_matrix_utils::distributed_sparse_matrix*, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double&, double&, int, std::vector<double, std::allocator<double> >&, int&, int&);;0.33;0.33;;;;;;
1299;libmpi.so.12.1.10;MPI_Recv;;0.28;0.28;;;;;;
2420;libmpi.so.12.1.10;MPIDI_CH3_PktHandler_EagerShortSend;;0.22;0.22;;;;;;
2196;libmpi.so.12.1.10;MPIR_Progress_hook_exec_all;;0.22;0.22;;;;;;
2419;libmpi.so.12.1.10;MPIDI_CH3_EagerContigShortSend;;0.16;0.17;;;;;;
2591;libmpi.so.12.1.10;MPID_nem_handle_pkt;;0.16;0.16;;;;;;
1303;libmpi.so.12.1.10;MPI_Send;;0.15;0.15;;;;;;
586;libc-2.31.so;__libc_free;;0.13;0.13;;;;;;
2491;libmpi.so.12.1.10;MPID_Send;;0.12;0.12;;;;;;
2310;libmpi.so.12.1.10;MPID_Request_create_hook;;0.1;0.1;;;;;;
71;miniXyce.x;std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, double> >*);;0.1;0.1;;;;;;
2226;libmpi.so.12.1.10;MPIDI_CH3I_Comm_find;;0.09;0.09;;;;;;
2317;libmpi.so.12.1.10;MPID_Request_complete;;0.08;0.08;;;;;;
2314;libmpi.so.12.1.10;MPIDI_CH3U_Request_unpack_uebuf;;0.07;0.07;;;;;;
1902;libc-2.31.so;__nss_database_lookup;;0.07;0.07;;;;;;
1342;libmpi.so.12.1.10;MPIR_Wait_state;;0.05;0.05;;;;;;
320;libmpi.so.12.1.10;.plt.sec@start;;0.05;0.05;;;;;;
2599;libmpi.so.12.1.10;MPIDI_CH3I_Posted_recv_dequeued;;0.05;0.05;;;;;;
1343;libmpi.so.12.1.10;MPIR_Wait_impl;;0.05;0.05;;;;;;
48;miniXyce.x;void std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&);;0.05;0.05;;;;;;
2598;libmpi.so.12.1.10;MPIDI_CH3I_Posted_recv_enqueued;;0.04;0.05;;;;;;
2316;libmpi.so.12.1.10;MPID_Request_destroy_hook;;0.04;0.05;;;;;;
75;miniXyce.x;std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<int const, double> >, int const&);;0.04;0.05;;;;;;
1060;libc-2.31.so;__poll;;0.03;0.03;;;;;;
1215;libstdc++.so.6.0.28;operator new(unsigned long);;0.02;0.03;;;;;;
72;miniXyce.x;void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&);;0.02;0.02;;;;;;
-1;kernel;unknown_kernel_region;;0.02;0.02;;;;;;
1143;libstdc++.so.6.0.28;operator delete(void*);;0.01;0.01;;;;;;
1026;libstdc++.so.6.0.28;.plt.sec@start;;0.01;0.01;;;;;;
102;miniXyce.x;.plt.sec@start;;0.01;0.01;;;;;;
1906;libmpi.so.12.1.10;MPIC_Sendrecv;;0.01;0.01;;;;;;
73;miniXyce.x;void std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_M_realloc_insert<std::vector<double, std::allocator<double> > const&>(__gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >, std::vector<double, std::allocator<double> > const&);;0.01;0.01;;;;;;
62;miniXyce.x;mX_matrix_utils::distributed_sparse_matrix_add_to(mX_matrix_utils::distributed_sparse_matrix*, int, int, double, int, int);;0.01;0.01;;;;;;
2588;libmpi.so.12.1.10;check_terminating_vcs;;0;0;;;;;;
2474;libmpi.so.12.1.10;MPID_Isend_coll;;0;0;;;;;;
2473;libmpi.so.12.1.10;MPID_Isend;;0;0;;;;;;
2469;libmpi.so.12.1.10;MPID_Irecv;;0;0;;;;;;
2237;libmpi.so.12.1.10;MPIDI_CH3U_Receive_data_found;;0;0;;;;;;
1902;libmpi.so.12.1.10;MPIC_Wait;;0;0;;;;;;
1834;libmpi.so.12.1.10;MPIR_Csel_search;;0;0;;;;;;
1280;libmpi.so.12.1.10;MPIR_Localcopy;;0;0;;;;;;
811;libmpi.so.12.1.10;MPIR_Allreduce_impl;;0;0;;;;;;
11;ld-2.31.so;_dl_rtld_di_serinfo;;0;0;;;;;;
